Pathway	Organisms
Bacterial secretion system	 Streptococcus gordonii Streptococcus mitis Streptococcus mutans UA159 Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
Base excision repair	 Streptococcus gordonii Streptococcus mitis Streptococcus mutans UA159 Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
Nucleotide excision repair	 Streptococcus gordonii Streptococcus mitis Streptococcus mutans UA159 Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
Mismatch repair	 Streptococcus gordonii Streptococcus mitis Streptococcus mutans UA159 Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
Homologous recombination	 Streptococcus gordonii Streptococcus mitis Streptococcus mutans UA159 Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
Sulfur relay system	 Streptococcus gordonii Streptococcus mitis Streptococcus mutans UA159 Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
Ascorbate and aldarate metabolism	 Streptococcus mitis Streptococcus mutans UA159 Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33
Benzoate degradation	 Streptococcus mitis Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
Sphingolipid metabolism	 Streptococcus mitis Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis
Xylene degradation	 Streptococcus mitis Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus thermophilus LMD-9
Lysine degradation	 Streptococcus mutans UA159
Tryptophan metabolism	 Streptococcus mutans UA159 Streptococcus suis 05ZYH33
Styrene degradation	 Streptococcus mutans UA159 Streptococcus suis 05ZYH33
Nonribosomal peptide structures	 Streptococcus mutans UA159 Streptococcus sanguinis
Fatty acid degradation	 Streptococcus suis 05ZYH33
Synthesis and degradation of ketone bodies	 Streptococcus suis 05ZYH33
